46.5163,26.4293,172.295,19.847,2.48377,176.171,-10.9965,27.2731,183.074,40.8467,35.7801,183.364,-4.66154,40.4059,181.612,18.7979,22.7266,184.88,-21.0354,-2.90749,203.59,54.7816,25.4599,165.501
46.8346,24.1599,173.303,19.8376,2.46627,176.075,-10.8149,24.1307,184.412,40.7589,35.8692,182.779,-4.65851,40.3386,181.654,18.7815,22.7071,184.828,-20.6437,-1.30484,204.688,55.1913,20.6872,168.352
46.8958,21.6918,174.776,19.8321,2.43027,175.963,-9.91485,21.1043,185.881,40.7689,35.8303,182.683,-4.64805,40.2517,181.708,18.7715,22.6875,184.761,-20.8143,0.0650359,204.104,55.7989,16.0365,171.566
46.6308,19.2338,176.692,19.8244,2.39317,175.843,-8.50443,18.4693,187.293,40.7652,35.8062,182.727,-4.64244,40.1799,181.799,18.7595,22.6639,184.674,-21.839,2.83036,198.669,57.2654,9.82341,170.367
45.9774,16.9269,179.585,19.8209,2.34256,175.716,-6.91671,16.466,188.352,40.7527,35.7813,182.755,-4.63169,40.0945,181.864,18.7536,22.6365,184.639,-24.1431,6.28887,195.007,58.841,-5.64929,176.883
44.5638,15.0917,181.128,19.8204,2.2885,175.578,-5.58786,15.1019,189.012,40.7429,35.7558,182.745,-4.6299,40.0144,181.934,18.7409,22.6124,184.617,-27.3724,10.368,191.712,58.5537,-7.83693,183.656
43.3315,13.9595,183.004,19.8254,2.24394,175.441,-4.96331,14.3689,189.138,40.7402,35.7414,182.752,-4.61603,39.909,182.022,18.7429,22.5808,184.633,-31.2327,15.1255,188.026,59.434,-6.60633,187.783
42.609,13.4172,184.354,19.8186,2.19755,175.314,-5.28062,14.0397,188.881,40.905,35.6942,182.253,-4.6012,39.8057,182.103,18.7369,22.5524,184.646,-34.9039,20.8725,183.146,60.4265,-3.2848,189.228
42.3859,13.3891,185.535,19.8141,2.15076,175.197,-5.77197,13.9869,188.969,40.7592,35.6996,182.718,-4.58322,39.699,182.161,18.7362,22.5279,184.703,-36.9755,27.8913,177.372,62.5673,5.2124,180.898
42.852,13.7462,185.916,19.8103,2.10299,175.086,-6.14564,14.4823,188.986,40.758,35.6807,182.848,-4.55741,39.6053,182.244,18.7334,22.4959,184.761,-36.779,35.2391,170.742,64.019,7.47942,176.473
43.7897,14.2375,185.105,19.8055,2.06025,175.026,-7.15662,15.7363,188.745,40.7779,35.6503,182.852,-4.51979,39.5226,182.295,18.7272,22.4746,184.816,-34.2001,42.4776,164.368,65.3489,10.8843,170.558
44.5994,14.5694,183.453,19.7996,2.03064,175.004,-8.35141,17.5968,188.636,40.7955,35.6216,182.869,-4.48348,39.4663,182.343,18.7462,22.4661,184.907,-29.5175,49.4179,160.764,66.5283,15.4267,163.24
45.223,14.7791,180.607,19.8073,2.01083,174.991,-9.46606,19.7419,188.289,40.8054,35.6003,182.912,-4.44219,39.4316,182.382,18.7633,22.4506,185.022,-21.211,60.0272,161.576,67.5564,21.0108,158.386
45.8408,15.5878,179.997,19.8298,1.99803,175.029,-10.3456,21.9888,187.473,40.8084,35.5691,182.933,-4.40647,39.3974,182.436,18.7888,22.4463,185.108,-18.8155,61.6511,162.563,67.735,27.6025,153.665
46.505,17.1238,178.01,19.8664,1.98647,175.082,-11.1031,24.3347,186.005,40.8106,35.5442,182.921,-4.36367,39.3861,182.491,18.8172,22.4543,185.209,-17.2635,62.0059,162.947,66.8862,34.7189,149.545
47.1927,19.1913,176.57,19.9008,1.98767,175.174,-11.4954,26.3701,183.69,40.8158,35.5437,182.871,-4.32007,39.3911,182.577,18.8478,22.4731,185.339,-16.5086,62.118,164.162,65.0683,41.6802,146.49
47.5161,21.5196,175.106,19.9216,1.99726,175.311,-11.3787,28.1706,180.826,40.8077,35.5551,182.831,-4.26248,39.4096,182.682,18.8815,22.4988,185.474,-16.4003,61.6655,165.984,63.0576,47.1874,150.72
